timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume,bid_depth,ask_depth
2640000,32.68,32.58,32.78,61,87,2298,90,32.58:61|32.57:236,32.78:87|32.79:224
2700000,32.7,32.6,32.8,109,32,2316,18,32.6:109|32.59:386,32.8:32|32.81:290
2760000,32.64,32.54,32.74,48,44,2401,85,32.54:48|32.53:135,32.74:44|32.75:266
2820000,32.66,32.56,32.76,110,57,2437,36,32.56:110|32.55:184,32.76:57|32.77:127
2880000,32.73,32.63,32.83,64,109,2525,88,32.63:64|32.62:258,32.83:109|32.84:237
2940000,32.81,32.71,32.91,106,84,2558,33,32.71:106|32.7:209,32.91:84|32.92:337
3000000,32.79,32.69,32.89,78,111,2585,27,32.69:78|32.68:241,32.89:111|32.9:264
3060000,32.77,32.67,32.87,75,54,2636,51,32.67:75|32.66:309,32.87:54|32.88:178
3120000,32.75,32.65,32.85,50,57,2711,75,32.65:50|32.64:264,32.85:57|32.86:199
3180000,32.78,32.68,32.88,78,103,2758,47,32.68:78|32.67:137,32.88:103|32.89:403
3240000,32.76,32.66,32.86,64,108,2836,78,32.66:64|32.65:215,32.86:108|32.87:319
3300000,32.7,32.6,32.8,113,83,2848,12,32.6:113|32.59:284,32.8:83|32.81:358
3360000,32.76,32.66,32.86,46,95,2884,36,32.66:46|32.65:105,32.86:95|32.87:229
3420000,32.76,32.66,32.86,43,120,2948,64,32.66:43|32.65:128,32.86:120|32.87:342
3480000,32.73,32.63,32.83,41,38,2981,33,32.63:41|32.62:246,32.83:38|32.84:263
3540000,32.8,32.7,32.9,36,58,3035,54,32.7:36|32.69:138,32.9:58|32.91:300
3600000,32.77,32.67,32.87,43,51,3122,87,32.67:43|32.66:216,32.87:51|32.88:231
3660000,32.79,32.69,32.89,66,52,3205,83,32.69:66|32.68:355,32.89:52|32.9:219
3720000,32.85,32.75,32.95,114,57,3222,17,32.75:114|32.74:244,32.95:57|32.96:326
3780000,32.83,32.73,32.93,89,112,3265,43,32.73:89|32.72:214,32.93:112|32.94:393
3840000,32.77,32.67,32.87,53,36,3346,81,32.67:53|32.66:310,32.87:36|32.88:273
3900000,32.69,32.59,32.79,95,85,3360,14,32.59:95|32.58:229,32.79:85|32.8:242
3960000,32.68,32.58,32.78,31,104,3379,19,32.58:31|32.57:294,32.78:104|32.79:184
4020000,32.6,32.5,32.7,115,93,3421,42,32.5:115|32.49:232,32.7:93|32.71:163
4080000,32.53,32.43,32.63,56,85,3502,81,32.43:56|32.42:221,32.63:85|32.64:343
4140000,32.59,32.49,32.69,79,94,3583,81,32.49:79|32.48:280,32.69:94|32.7:296
4200000,32.64,32.54,32.74,62,61,3635,52,32.54:62|32.53:166,32.74:61|32.75:325
4260000,32.62,32.52,32.72,109,110,3698,63,32.52:109|32.51:296,32.72:110|32.73:381
4320000,32.65,32.55,32.75,58,72,3752,54,32.55:58|32.54:337,32.75:72|32.76:372
4380000,32.57,32.47,32.67,80,90,3783,31,32.47:80|32.46:298,32.67:90|32.68:336
4440000,32.61,32.51,32.71,37,68,3840,57,32.51:37|32.5:183,32.71:68|32.72:253
4500000,32.57,32.47,32.67,119,30,3895,55,32.47:119|32.46:288,32.67:30|32.68:81
4560000,32.5,32.4,32.6,119,101,3980,85,32.4:119|32.39:190,32.6:101|32.61:293
4620000,32.47,32.37,32.57,48,103,4023,43,32.37:48|32.36:202,32.57:103|32.58:298
4680000,32.5,32.4,32.6,115,110,4098,75,32.4:115|32.39:290,32.6:110|32.61:213
4740000,32.45,32.35,32.55,67,96,4168,70,32.35:67|32.34:117,32.55:96|32.56:330
4800000,32.43,32.33,32.53,74,114,4199,31,32.33:74|32.32:292,32.53:114|32.54:319
4860000,32.36,32.26,32.46,67,72,4215,16,32.26:67|32.25:323,32.46:72|32.47:215
4920000,32.32,32.22,32.42,102,64,4239,24,32.22:102|32.21:401,32.42:64|32.43:358
4980000,32.31,32.21,32.41,39,108,4316,77,32.21:39|32.2:296,32.41:108|32.42:221
5040000,32.28,32.18,32.38,49,32,4327,11,32.18:49|32.17:266,32.38:32|32.39:261
5100000,32.21,32.11,32.31,105,66,4354,27,32.11:105|32.1:392,32.31:66|32.32:359
5160000,32.18,32.08,32.28,79,50,4422,68,32.08:79|32.07:245,32.28:50|32.29:244
5220000,32.22,32.12,32.32,44,107,4471,49,32.12:44|32.11:189,32.32:107|32.33:376
5280000,32.17,32.07,32.27,97,89,4494,23,32.07:97|32.06:169,32.27:89|32.28:186
5340000,32.24,32.14,32.34,55,90,4511,17,32.14:55|32.13:275,32.34:90|32.35:140
5400000,32.23,32.13,32.33,95,71,4591,80,32.13:95|32.12:251,32.33:71|32.34:198
