timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume,bid_depth,ask_depth
2100000,249.97,249.96,249.98,1061,1046,22938,851,249.96:1061|249.95:1222,249.98:1046|249.99:1148
2160000,249.97,249.96,249.98,1104,841,23463,525,249.96:1104|249.95:1166,249.98:841|249.99:1039
2220000,250.0,249.99,250.01,1249,1249,24204,741,249.99:1249|249.98:1312,250.01:1249|250.02:1367
2280000,250.0,249.99,250.01,1009,834,24999,795,249.99:1009|249.98:1289,250.01:834|250.02:1003
2340000,250.03,250.02,250.04,1433,859,25405,406,250.02:1433|250.01:1588,250.04:859|250.05:1146
2400000,250.03,250.02,250.04,1080,1431,26293,888,250.02:1080|250.01:1166,250.04:1431|250.05:1605
2460000,250.04,250.03,250.05,1451,863,26711,418,250.03:1451|250.02:1678,250.05:863|250.06:1135
2520000,250.03,250.02,250.04,1453,924,27464,753,250.02:1453|250.01:1525,250.04:924|250.05:1224
2580000,250.04,250.03,250.05,1260,1147,28130,666,250.03:1260|250.02:1496,250.05:1147|250.06:1215
2640000,250.02,250.01,250.03,1227,911,28665,535,250.01:1227|250.0:1278,250.03:911|250.04:1022
2700000,250.01,250.0,250.02,1459,1344,29114,449,250.0:1459|249.99:1568,250.02:1344|250.03:1581
2760000,249.99,249.98,250.0,961,976,29887,773,249.98:961|249.97:1245,250.0:976|250.01:1176
2820000,250.01,250.0,250.02,996,1259,30357,470,250.0:996|249.99:1055,250.02:1259|250.03:1357
2880000,250.03,250.02,250.04,1499,1323,31207,850,250.02:1499|250.01:1607,250.04:1323|250.05:1399
2940000,250.04,250.03,250.05,812,1140,32068,861,250.03:812|250.02:1100,250.05:1140|250.06:1320
3000000,250.06,250.05,250.07,1390,1475,32714,646,250.05:1390|250.04:1672,250.07:1475|250.08:1557
3060000,250.04,250.03,250.05,841,1259,33427,713,250.03:841|250.02:1037,250.05:1259|250.06:1491
3120000,250.06,250.05,250.07,1427,1416,33873,446,250.05:1427|250.04:1547,250.07:1416|250.08:1569
3180000,250.08,250.07,250.09,861,919,34420,547,250.07:861|250.06:1086,250.09:919|250.1:1104
3240000,250.05,250.04,250.06,898,1104,34967,547,250.04:898|250.03:1008,250.06:1104|250.07:1196
3300000,250.06,250.05,250.07,1197,1471,35652,685,250.05:1197|250.04:1344,250.07:1471|250.08:1559
3360000,250.08,250.07,250.09,1448,1140,36408,756,250.07:1448|250.06:1506,250.09:1140|250.1:1251
3420000,250.07,250.06,250.08,1047,1280,36932,524,250.06:1047|250.05:1148,250.08:1280|250.09:1434
3480000,250.05,250.04,250.06,968,1307,37556,624,250.04:968|250.03:1142,250.06:1307|250.07:1593
3540000,250.03,250.02,250.04,1080,827,38343,787,250.02:1080|250.01:1362,250.04:827|250.05:925
3600000,250.02,250.01,250.03,839,1029,38902,559,250.01:839|250.0:1023,250.03:1029|250.04:1146
3660000,249.99,249.98,250.0,1184,931,39432,530,249.98:1184|249.97:1385,250.0:931|250.01:1191
3720000,250.0,249.99,250.01,1459,1498,40147,715,249.99:1459|249.98:1603,250.01:1498|250.02:1746
3780000,250.02,250.01,250.03,1269,1431,41025,878,250.01:1269|250.0:1569,250.03:1431|250.04:1548
3840000,250.04,250.03,250.05,856,1264,41768,743,250.03:856|250.02:983,250.05:1264|250.06:1337
3900000,250.02,250.01,250.03,821,1180,42414,646,250.01:821|250.0:1089,250.03:1180|250.04:1478
3960000,249.99,249.98,250.0,1193,844,42995,581,249.98:1193|249.97:1257,250.0:844|250.01:953
4020000,249.96,249.95,249.97,928,1300,43595,600,249.95:928|249.94:1191,249.97:1300|249.98:1376
4080000,249.99,249.98,250.0,990,1230,44347,752,249.98:990|249.97:1209,250.0:1230|250.01:1483
4140000,250.0,249.99,250.01,1248,1076,44935,588,249.99:1248|249.98:1546,250.01:1076|250.02:1336
4200000,250.01,250.0,250.02,1500,1410,45480,545,250.0:1500|249.99:1768,250.02:1410|250.03:1561
4260000,249.99,249.98,250.0,968,1328,46219,739,249.98:968|249.97:1142,250.0:1328|250.01:1454
4320000,250.02,250.01,250.03,1230,1338,46642,423,250.01:1230|250.0:1293,250.03:1338|250.04:1523
4380000,250.0,249.99,250.01,810,1301,47188,546,249.99:810|249.98:976,250.01:1301|250.02:1511
4440000,249.99,249.98,250.0,1095,939,47774,586,249.98:1095|249.97:1386,250.0:939|250.01:1111
4500000,249.97,249.96,249.98,939,1253,48554,780,249.96:939|249.95:1005,249.98:1253|249.99:1402
4560000,249.95,249.94,249.96,1293,899,49231,677,249.94:1293|249.93:1358,249.96:899|249.97:1175
4620000,249.96,249.95,249.97,1078,1154,50056,825,249.95:1078|249.94:1225,249.97:1154|249.98:1246
4680000,249.98,249.97,249.99,1368,1039,50899,843,249.97:1368|249.96:1611,249.99:1039|250.0:1307
4740000,250.01,250.0,250.02,1351,1322,51691,792,250.0:1351|249.99:1646,250.02:1322|250.03:1478
4800000,250.02,250.01,250.03,977,855,52282,591,250.01:977|250.0:1216,250.03:855|250.04:1118
4860000,250.03,250.02,250.04,813,974,52812,530,250.02:813|250.01:1072,250.04:974|250.05:1207
4920000,250.01,250.0,250.02,929,1375,53581,769,250.0:929|249.99:1052,250.02:1375|250.03:1560
4980000,250.01,250.0,250.02,1493,1052,54263,682,250.0:1493|249.99:1687,250.02:1052|250.03:1289
5040000,250.02,250.01,250.03,997,943,54689,426,250.01:997|250.0:1190,250.03:943|250.04:1041
5100000,250.04,250.03,250.05,922,1420,55164,475,250.03:922|250.02:1095,250.05:1420|250.06:1597
5160000,250.07,250.06,250.08,988,943,55659,495,250.06:988|250.05:1078,250.08:943|250.09:1120
5220000,250.07,250.06,250.08,860,975,56242,583,250.06:860|250.05:1116,250.08:975|250.09:1251
5280000,250.04,250.03,250.05,1056,983,56984,742,250.03:1056|250.02:1107,250.05:983|250.06:1034
5340000,250.07,250.06,250.08,838,958,57520,536,250.06:838|250.05:946,250.08:958|250.09:1247
5400000,250.09,250.08,250.1,963,1219,58045,525,250.08:963|250.07:1176,250.1:1219|250.11:1489
